time,open,high,low,close,volume
2021-06-04 19:00:00,2392.5,2392.5,2392.5,2392.5,100
2021-06-04 18:00:00,2393.65,2394.3,2393.65,2393.99,1104
2021-06-04 17:00:00,2393.57,2394.18,2393.57,2394.0,15771
2021-06-04 16:00:00,2394.32,2398.5316,2392.41,2393.2,336421
2021-06-04 15:00:00,2393.8,2395.3175,2393.095,2394.6,68144
2021-06-04 14:00:00,2391.74,2395.22,2391.04,2394.48,57390
2021-06-04 13:00:00,2396.9,2399.03,2387.93,2391.83,97813
2021-06-04 12:00:00,2381.11,2396.71,2380.065,2396.71,151665
2021-06-04 11:00:00,2380.22,2386.95,2378.975,2380.61,144958
2021-06-04 10:00:00,2368.0,2382.73,2362.41,2379.97,176615
2021-06-04 09:00:00,2352.06,2365.0,2352.06,2354.0,2832
2021-06-03 17:00:00,2347.58,2347.58,2343.5905,2343.5905,30247
2021-06-03 16:00:00,2342.635,2349.31,2339.28,2347.58,206872
2021-06-03 15:00:00,2348.915,2349.435,2342.115,2342.115,49583
2021-06-03 14:00:00,2346.76,2351.0,2343.43,2350.42,33534
2021-06-03 13:00:00,2344.44,2347.08,2338.13,2347.08,52684
2021-06-03 12:00:00,2348.0,2357.015,2340.4101,2344.67,94549
2021-06-03 11:00:00,2337.09,2346.34,2330.11,2345.75,150548
2021-06-03 10:00:00,2348.48,2354.0,2329.52,2337.81,186551
2021-06-03 09:00:00,2347.0,2354.0,2347.0,2354.0,2211
2021-06-03 08:00:00,2350.0,2350.0,2343.0,2343.0,685
2021-06-02 18:00:00,2370.03,2370.03,2370.03,2370.03,129
2021-06-02 17:00:00,2370.59,2373.0,2370.59,2370.6,40559
2021-06-02 16:00:00,2360.512,2371.52,2358.34,2370.59,177853
2021-06-02 15:00:00,2357.18,2361.045,2352.355,2360.67,111203
2021-06-02 14:00:00,2371.69,2372.1976,2355.29,2357.22,117936
2021-06-02 13:00:00,2374.46,2374.46,2369.56,2371.94,85687
2021-06-02 12:00:00,2377.54,2383.89,2373.99,2375.25,76367
2021-06-02 11:00:00,2376.96,2382.31,2372.72,2377.755,112651
2021-06-02 10:00:00,2385.2943,2393.64,2372.5,2375.01,151417
2021-06-02 09:00:00,2384.75,2384.75,2384.75,2384.75,300
2021-06-02 08:00:00,2384.0,2384.05,2380.0,2384.05,1519
2021-06-02 07:00:00,2383.0,2384.01,2383.0,2384.01,469
2021-06-02 06:00:00,2383.0,2383.0,2383.0,2383.0,199
2021-06-01 17:00:00,2381.18,2381.18,2381.18,2381.18,23425
2021-06-01 16:00:00,2382.01,2384.35,2377.42,2381.19,271422
2021-06-01 15:00:00,2369.18,2382.07,2367.56,2381.7,93809
2021-06-01 14:00:00,2372.11,2372.12,2366.52,2370.29,38078
2021-06-01 13:00:00,2367.485,2373.26,2364.21,2372.355,61912
2021-06-01 12:00:00,2359.045,2368.07,2358.01,2367.75,87383
2021-06-01 11:00:00,2376.5,2377.82,2354.28,2358.92,212413
2021-06-01 10:00:00,2370.97,2385.71,2370.46,2376.54,240854
2021-06-01 09:00:00,2372.0,2372.0,2366.01,2369.0,1886
2021-06-01 08:00:00,2372.0,2372.0,2367.5,2367.5,2255
2021-05-28 19:00:00,2356.0,2356.0,2356.0,2356.0,183
2021-05-28 18:00:00,2356.85,2357.49,2356.85,2357.49,704
2021-05-28 17:00:00,2356.85,2358.14,2355.0,2357.3999,27740
2021-05-28 16:00:00,2368.36,2370.675,2352.85,2356.85,356145
2021-05-28 15:00:00,2368.23,2369.52,2365.6598,2368.64,51390
2021-05-28 14:00:00,2371.85,2372.375,2363.6,2368.03,79504
2021-05-28 13:00:00,2374.6014,2376.07,2371.35,2371.52,72066
2021-05-28 12:00:00,2367.35,2374.38,2365.5471,2374.38,64771
2021-05-28 11:00:00,2369.0775,2370.39,2362.03,2366.755,128020
2021-05-28 10:00:00,2374.42,2375.81,2361.61,2368.71,127020
2021-05-28 09:00:00,2377.05,2377.05,2377.05,2377.05,210
2021-05-27 20:00:00,2372.0,2372.0,2372.0,2372.0,108
2021-05-27 18:00:00,2362.68,2362.68,2362.68,2362.68,166
2021-05-27 17:00:00,2362.68,2373.93,2362.68,2373.9,251233
2021-05-27 16:00:00,2376.95,2381.72,2356.26,2359.05,434671
2021-05-27 15:00:00,2374.08,2378.31,2373.81,2376.65,63288
2021-05-27 14:00:00,2378.66,2379.89,2374.41,2374.41,32005
2021-05-27 13:00:00,2382.47,2384.59,2377.8946,2378.95,45498
2021-05-27 12:00:00,2377.96,2383.02,2377.37,2382.01,50942
2021-05-27 11:00:00,2372.22,2385.45,2370.79,2379.44,151697
2021-05-27 10:00:00,2380.0,2390.0,2370.02,2371.74,131972
2021-05-27 09:00:00,2384.13,2384.13,2372.15,2372.21,1603
2021-05-26 17:00:00,2380.31,2386.79,2380.31,2380.31,52062
2021-05-26 16:00:00,2383.99,2385.75,2374.54,2381.63,223141
2021-05-26 15:00:00,2382.3737,2386.95,2382.21,2384.44,53690
2021-05-26 14:00:00,2388.99,2388.99,2380.045,2381.57,73881
2021-05-26 13:00:00,2382.33,2388.965,2380.25,2387.49,80091
2021-05-26 12:00:00,2380.83,2385.0,2378.01,2382.58,119190
2021-05-26 11:00:00,2373.87,2381.68,2370.49,2380.4002,125807
2021-05-26 10:00:00,2368.37,2378.98,2365.5,2373.51,122906
2021-05-26 08:00:00,2370.21,2374.71,2370.21,2374.71,256
2021-05-25 20:00:00,2364.11,2364.21,2364.11,2364.11,564
2021-05-25 19:00:00,2361.53,2365.0,2361.53,2365.0,1143
2021-05-25 17:00:00,2362.87,2363.05,2361.59,2361.59,39758
2021-05-25 16:00:00,2358.91,2364.19,2355.0,2364.19,212954
2021-05-25 15:00:00,2361.79,2361.79,2355.43,2359.05,88057
2021-05-25 14:00:00,2360.46,2365.88,2357.97,2362.18,72514
2021-05-25 13:00:00,2364.53,2367.49,2359.0,2361.71,57576
2021-05-25 12:00:00,2366.83,2371.29,2355.79,2363.7017,155280
2021-05-25 11:00:00,2363.53,2369.39,2356.53,2366.93,154644
