Open,High,Low,Close,Volume,Item,PCT_CHANGE,SMA,EMA,TR,ATR,BB_RANGE,RSI,ADX
171.34133911132812,175.22021484375,170.94094848632812,174.26927185058594,20794385,52,0.02472117604920565,0.006793170118985325,0.005650982233099853,3.428436279296875,6.990738677978515,18.995924940820316,45.51998399468658,13.4878610247719
175.18017578125,176.00601196289062,169.709716796875,170.130126953125,19642538,53,-0.023751432788505222,-0.006323574051426739,-0.004149822778656173,4.279266357421875,6.991488647460938,18.87405706784199,41.94015651679575,13.455204584713568
170.0450439453125,172.22222900390625,168.91891479492188,170.2802734375,15176808,54,0.0008825390720854642,-0.002353929229028706,-0.002472368827889297,6.296295166015625,7.095342254638671,17.545949657981396,42.117981544603886,13.537776060509733
171.34634399414062,173.0480499267578,170.270263671875,171.11611938476562,14854531,55,0.004908648138695959,0.0019543678760881146,-1.2029838519414505e-05,3.303314208984375,7.133130645751953,15.580164494204382,43.16163038062861,13.450483873176143
184.49449157714844,185.230224609375,181.4364318847656,183.0830841064453,30330839,56,0.0699347598853104,0.015339138071358449,0.023303566739300743,2.7777862548828125,6.8753738403320295,12.881033324374755,55.52571911775068,13.54652808650645
183.72872924804688,186.0410461425781,182.68267822265625,185.030029296875,14033353,57,0.01063421669965825,0.012521746201448969,0.01908045005903227,3.7937927246094034,6.900399017333984,10.916319981479205,57.158542232779304,13.739219935562243
186.0410461425781,189.1191253662109,185.7707672119141,188.78878784179688,17873708,58,0.020314316325870774,0.021334896024324167,0.019491738814670274,3.3583679199218466,6.78253173828125,8.896139019454608,60.19679326237946,14.307076679931415
190.16015625,199.69970703125,189.9449462890625,197.68768310546875,38016945,59,0.04713677843585207,0.030585743897077487,0.0287067520221068,3.348358154296818,5.472722625732419,8.986825665620302,66.2917659595439,15.91939669762047
194.789794921875,196.9469451904297,191.9969940185547,194.41441345214844,29393977,60,-0.016557782467276905,0.026292457775882915,0.013618573858568546,9.7547607421875,5.756506347656249,12.197990858402989,62.500637326664815,17.416550999760307
194.56455993652344,196.13113403320312,192.20721435546875,195.1951904296875,72969757,61,0.004016044714355793,0.013108714741691996,0.010417730810439594,4.949951171875,5.531031036376952,16.501324970381745,63.04354888762171,18.806765708890158
194.9599609375,196.43142700195312,194.1591644287109,195.0450439453125,16229155,62,-0.0007692120079623166,0.010828029000167883,0.006688749870927217,3.923919677734375,5.439939880371092,20.41741828148281,62.855089184667605,20.128468799039545
195.1451416015625,202.65264892578125,194.26426696777344,202.37237548828125,31399969,63,0.037567381332812566,0.01427864200155624,0.016981627024971944,2.272262573242216,5.146646118164062,24.298012116488735,67.89844167437683,21.947806100857058
204.30430603027344,207.49249267578125,201.6116180419922,204.1992034912109,26794179,64,0.009027062110240625,0.006656698736433953,0.014330105386713926,8.388381958007812,5.308307647705076,27.765291371149146,69.02754110661101,24.024697483033574
203.4484405517578,207.1521453857422,202.9179229736328,205.79579162597656,17179803,65,0.007818777485262718,0.011532010726941877,0.012159662752889084,5.8808746337890625,5.364864349365233,30.62426658238337,70.02001127073402,25.95323948076891
206.41140747070312,206.6316375732422,202.21221923828125,203.2832794189453,14037748,66,-0.012208763780736653,0.008287049027923387,0.0040368539083277775,4.234222412109375,5.150399017333983,32.34558963847701,66.41341481076282,27.56512522562056
203.7437438964844,208.79379272460938,202.8278350830078,208.3983917236328,18621560,67,0.025162484191067147,0.01347338826772928,0.011078730669252109,4.4194183349609375,5.047296142578124,33.3369041173936,69.82145952462196,29.25265275551994
208.4184112548828,209.759765625,203.3133087158203,205.0350341796875,22192186,68,-0.01613907629577882,0.0027320967420110033,0.0020061283475655066,5.9659576416015625,5.0790779113769515,32.83435627692461,65.1409204795653,30.90454944090082
204.7047119140625,205.8708648681641,202.79779052734372,204.6796875,12021966,69,-0.0017331022530329143,0.0005800638693562954,0.0007597181473651513,6.4464569091796875,4.907156372070311,31.210302317446576,64.64783203797471,32.288211549229125
204.5195159912109,205.0850830078125,200.4504547119141,201.2812805175781,13092694,70,-0.016603538064430046,-0.004304399240582258,-0.005028033923235977,3.0730743408203693,4.766265869140627,28.678331317106824,59.972315901482894,32.89254348303522
201.9269256591797,206.4564514160156,200.62062072753903,203.61361694335938,16502481,71,0.011587448270320433,0.0004548431696291599,0.0005104601412845673,4.634628295898409,4.7264762878417965,25.49911541886769,62.003368554390136,33.616043595868206
204.16917419433597,205.1201171875,200.95095825195312,202.32232666015625,16258925,72,-0.006341866043086508,-0.005846026877201571,-0.001773648586839603,5.8358306884765625,4.846846008300782,21.237560999093432,60.182623228747744,34.287865129213124
206.49148559570312,207.0270233154297,203.56857299804688,205.45545959472656,13549837,73,0.015485848676666691,0.0004789581172875312,0.003979517167663298,4.169158935546875,4.841340637207031,16.821601531480212,63.02014222458975,35.148784382581105
205.7107086181641,208.2082061767578,204.30430603027344,207.70770263671875,24518457,74,0.010962196119951528,0.0030180177918844196,0.006307076818426258,3.4584503173828125,4.6994483947753904,12.876867374144524,64.95358299618678,36.091577954223496
224.6746826171875,225.5855865478516,218.3032989501953,218.76876831054688,45057497,75,0.05325303555628813,0.016989332516028056,0.021955729731047847,3.903900146484375,4.7294776916503904,10.677776477574582,72.54541952675353,38.33990775604695
219.919921875,222.57257080078125,218.47848510742188,220.4704742431641,17655127,76,0.007778559735737156,0.0162275548091114,0.017230006399277423,7.282287597656278,4.954702758789064,9.674332505057976,73.49662984264074,40.42764257202587
